voter_name,affiliation,x1st_place_10_points,x2nd_place_7_points,x3rd_place_5_points,x4th_place_3_points,x5th_place_1_point,year,award
Jackie MacMullan,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Jalen Rose,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)",2020,MVP
Jared Greenberg,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)",2020,MVP
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2020,MVP
Jason Quick,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)",2020,MVP
Jeff McDonald,San Antonio Express-News,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Lillard, Damian (POR)",2020,MVP
Jeff Zillgitt,USA Today,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Joe Cowley,Chicago Sun-Times,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Harden, James (HOU)",2020,MVP
Joe Vardon,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Davis, Anthony (LAL)",2020,MVP
John Schuhmann,NBA.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Paul, Chris (OKC)",2020,MVP
Jon Barry,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Lillard, Damian (POR)",2020,MVP
Josh Robbins,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Justin Termine,Sirius Radio,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Paul, Chris (OKC)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)",2020,MVP
Keith Pompey,Philadelphia Inquirer and Daily News,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Butler, Jimmy (MIA)","Lillard, Damian (POR)",2020,MVP
Kelly Iko,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Lillard, Damian (POR)",2020,MVP
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)",2020,MVP
Kevin Harlan,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)",2020,MVP
Kevin O'Connor,The Ringer,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Kevin Pelton,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Kristen Ledlow,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)",2020,MVP
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Lisa Hsu,Tencent,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Marc Berman,New York Post,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)",2020,MVP
Marc Kestecher,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Davis, Anthony (LAL)",2020,MVP
Maria Taylor,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Mark Jackson,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Mark Jones,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","Paul, Chris (OKC)","Harden, James (HOU)",2020,MVP
Mark Medina,USA Today,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Marv Albert,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Matt Velazquez,Milwaukee Journal Sentinel,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Matt Winer,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Davis, Anthony (LAL)",2020,MVP
Maxime Malet,L'Equipe,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Davis, Anthony (LAL)",2020,MVP
Michael Wilbon,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Paul, Chris (OKC)",2020,MVP
Mike Breen,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Mike Ganter,The Toronto Sun,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Mirjam Swanson,Southern California News Group,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
NBA.com Fan Vote,NBA.com,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Nick Kosmider,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)",2020,MVP
Rachel Nichols,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Ramona Shelburne,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Paul, Chris (OKC)",2020,MVP
Remi Reverchon,BeIN Sport (France),"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Davis, Anthony (LAL)",2020,MVP
Renjun Bao,Tencent,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Ric Bucher,Bleacher Report,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Harden, James (HOU)","Butler, Jimmy (MIA)",2020,MVP
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Doncic, Luka (DAL)",2020,MVP
Royce Young,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Siakam, Pascal (TOR)",2020,MVP
Sam Amick,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Seerat Sohi,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Siakam, Pascal (TOR)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)",2020,MVP
Sekou Smith,NBA.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)",2020,MVP
Shams Charania,The Athletic/Stadium,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)",2020,MVP
Shaun Powell,NBA.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)",2020,MVP
Simone Sandri,La Gazzetta Dello Sport,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Paul, Chris (OKC)",2020,MVP
Stephen A. Smith,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Doncic, Luka (DAL)","Davis, Anthony (LAL)",2020,MVP
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Paul, Chris (OKC)",2020,MVP
Steve Smith,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Paul, Chris (OKC)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Tim Reynolds,Associated Press,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2020,MVP
Vince Goodwill,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Will Guillory,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Yoko Miyaji,Sports Graphic Number,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Harden, James (HOU)",2020,MVP
Zach Lowe,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)",2020,MVP
A. Sherrod Blakely,NBC Sports Boston,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","George, Paul (OKC)",2019,MVP
Amin Elhassan,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2019,MVP
Andre Voigt,DAZN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Andrew Sharp,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
Anthony Slater,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Durant, Kevin (GSW)","George, Paul (OKC)","Jokic, Nikola (DEN)",2019,MVP
Bill Oram,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Bill Simmons,The Ringer,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","George, Paul (OKC)",2019,MVP
Brian Lewis,New York Post,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
Brian Mahoney,Associated Press,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Brian Windhorst,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Embiid, Joel (PHI)","Curry, Stephen (GSW)",2019,MVP
Casey Stern,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Leonard, Kawhi (TOR)",2019,MVP
Cassidy Hubbarth,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","George, Paul (OKC)",2019,MVP
Chris Haynes,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Lillard, Damian (POR)","Jokic, Nikola (DEN)","George, Paul (OKC)",2019,MVP
Chris Mannix,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)",2019,MVP
Dave Campbell,Associated Press,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Embiid, Joel (PHI)",2019,MVP
Dave McMenamin,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Embiid, Joel (PHI)",2019,MVP
Dave Pasch,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
David Cobb,Memphis Commercial Appeal,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Lillard, Damian (POR)","Gobert, Rudy (UTA)",2019,MVP
Dennis Scott,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","George, Paul (OKC)",2019,MVP
Diego Martinez,Reforma,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)",2019,MVP
Doris Burke,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Doug Smith,Toronto Star,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)",2019,MVP
Duane Rankin,Arizona Republic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Leonard, Kawhi (TOR)","Westbrook, Russell (OKC)","Curry, Stephen (GSW)",2019,MVP
Eric Woodyard,Deseret News,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Leonard, Kawhi (TOR)",2019,MVP
Erik Horne,The Oklahoman,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Flavio Tranquillo,Sky Italia,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2019,MVP
Frank Isola,Sirius Radio/The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Durant, Kevin (GSW)","Curry, Stephen (GSW)",2019,MVP
Gary Washburn,Boston Globe,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Lillard, Damian (POR)",2019,MVP
Greg Anthony,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2019,MVP
Guillermo Schutz,Televisa,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","George, Paul (OKC)",2019,MVP
Jackie MacMullan,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
Jalen Rose,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","George, Paul (OKC)","Leonard, Kawhi (TOR)",2019,MVP
Jared Greenberg,Turner,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","George, Paul (OKC)",2019,MVP
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Jeff McDonald,San Antonio Express‐News,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Jeff Zillgitt,USA Today,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Joe Freeman,The Oregonian,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Joe Vardon,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","George, Paul (OKC)",2019,MVP
John Schuhmann,NBA.com,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)",2019,MVP
Jon Barry,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","George, Paul (OKC)","Curry, Stephen (GSW)",2019,MVP
Josh Robbins,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
Justin Termine,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Lillard, Damian (POR)",2019,MVP
K.C. Johnson,Chicago Tribune,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Keith Pompey,Philadelphia Inqurier and Daily News,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Kelly Iko,The Athletic,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)",2019,MVP
Kennegh Lau,BesTV,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Embiid, Joel (PHI)",2019,MVP
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Kevin Harlan,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Kevin O'Connor,The Ringer,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Embiid, Joel (PHI)",2019,MVP
Kevin Pelton,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Lillard, Damian (POR)","Curry, Stephen (GSW)",2019,MVP
Kristen Ledlow,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Embiid, Joel (PHI)",2019,MVP
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2019,MVP
Lisa Hsu,Tencent,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Curry, Stephen (GSW)","Embiid, Joel (PHI)",2019,MVP
Marc Kestecher,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Mark Jackson,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Durant, Kevin (GSW)","Westbrook, Russell (OKC)",2019,MVP
Mark Jones,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2019,MVP
Marv Albert,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Durant, Kevin (GSW)",2019,MVP
Massimo Lopes Pegna,La Gazzetta dello Sport,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Curry, Stephen (GSW)",2019,MVP
Matt Velazquez,Milwaukee Journal Sentinel,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Matt Winer,Turner Sports,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Maxime Malet,L'Equipe,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Embiid, Joel (PHI)",2019,MVP
Michael Grange,Rogers Sportsnet,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)",2019,MVP
Michael Wilbon,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Michelle Beadle,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)",2019,MVP
Mike Breen,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2019,MVP
Mike Singer,Denver Post,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Mirjam Swanson,Southern California News Group,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)",2019,MVP
NBA.com Fan Voting,NA,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","James, LeBron (LAL)",2019,MVP
Nira Khurana,Perform,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Curry, Stephen (GSW)",2019,MVP
Olgun Uluc,Fox Sports Australia,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
Paul Flannery,SB Nation,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
Rachel Nichols,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Ramona Shelburne,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)",2019,MVP
Reggie Miller,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Durant, Kevin (GSW)",2019,MVP
Reid Forgrave,CBSSports.com,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Ric Bucher,Bleacher Report,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Curry, Stephen (GSW)","Durant, Kevin (GSW)",2019,MVP
Richard Walker,Gaston Gazette,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Lillard, Damian (POR)",2019,MVP
Rob Mahoney,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Lillard, Damian (POR)","Jokic, Nikola (DEN)",2019,MVP
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
Rosalyn Gold‐Onwude,Turner,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Lillard, Damian (POR)",2019,MVP
Royce Young,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Lillard, Damian (POR)","George, Paul (OKC)","Jokic, Nikola (DEN)",2019,MVP
Ryan Wolstat,Toronto Sun,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Sam Amick,The Athletic,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
